verdict	kind	module	line	owner	function	position	type	reason
NOT	SIG	markdown.vl	156		same_char_line	code	u32	a character code [override]
INDEX	SIG	markdown.vl	156		same_char_line	minimum	i32	a minimum RUN LENGTH [override]
NOT	SIG	markdown.vl	186		heading_level	<ret>	i32	a heading level [override]
NOT	SIG	markdown.vl	207		heading_content	level	i32	a heading level [override]
INDEX	SIG	markdown.vl	230		list_item_content_offset	<ret>	i32	`list_item_content_offset` answers a position or a count
INDEX	SIG	markdown.vl	272		is_fence_close	indent	i32	a column position [override]
NOT	SIG	markdown.vl	282		parse_inline	line	i32	a line number carried for diagnostics [override]
NOT	SIG	markdown.vl	519		is_word_code	c	u32	a character code
INDEX	SIG	markdown.vl	573		entity_length	i	i32	a scan position [override]
INDEX	SIG	markdown.vl	573		entity_length	<ret>	i32	`entity_length` answers a position or a count
NOT	SIG	markdown.vl	586		is_slug_whitespace	c	u32	a character code
NOT	SIG	markdown.vl	606		is_dropped_symbol	c	u32	a character code
NOT	SIG	markdown.vl	781		parse_row	line_number	i32	a line number [override]
INDEX	SIG	markdown.vl	820		parse_blocks	first_line	i32	a line index [override]
INDEX	SIG	memo.vl	91	impl Memo<type K: Hashable, type V>	len	<ret>	i32	`len` answers a position or a count
INDEX	SIG	native_map.vl	33	impl NativeMap<type V>	len	<ret>	i32	`len` answers a position or a count
NOT	SIG	number.vl	11	impl u32	pow	exponent	u32	the numeric type's own algebra
NOT	SIG	number.vl	11	impl u32	pow	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	14	impl u32	min	other	u32	the numeric type's own algebra
NOT	SIG	number.vl	14	impl u32	min	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	17	impl u32	max	other	u32	the numeric type's own algebra
NOT	SIG	number.vl	17	impl u32	max	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	19	impl u32	rem	m	u32	the numeric type's own algebra
NOT	SIG	number.vl	19	impl u32	rem	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	25	impl u32 with Default	default	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	33	impl i32	diff	other	i32	the numeric type's own algebra
NOT	SIG	number.vl	33	impl i32	diff	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	44	impl i32	abs	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	47	impl i32	pow	exponent	i32	the numeric type's own algebra
NOT	SIG	number.vl	47	impl i32	pow	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	50	impl i32	min	other	i32	the numeric type's own algebra
NOT	SIG	number.vl	50	impl i32	min	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	53	impl i32	max	other	i32	the numeric type's own algebra
NOT	SIG	number.vl	53	impl i32	max	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	57	impl i32	rem	m	i32	the numeric type's own algebra
NOT	SIG	number.vl	57	impl i32	rem	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	63	impl i32 with Default	default	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	217	impl i32 with PartialOrd	partial_compare	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	231	impl i32 with Ord	compare	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	247	impl u32 with PartialOrd	partial_compare	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	261	impl u32 with Ord	compare	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	397	impl i53 with PartialOrd	partial_compare	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	411	impl i53 with Ord	compare	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	427	impl u53 with PartialOrd	partial_compare	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	441	impl u53 with Ord	compare	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	536	impl i32 with PartialEq	eq	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	542	impl u32 with PartialEq	eq	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	560	impl i32 with Add	add	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	560	impl i32 with Add	add	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	566	impl i32 with Sub	sub	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	566	impl i32 with Sub	sub	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	572	impl i32 with Mul	mul	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	572	impl i32 with Mul	mul	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	578	impl i32 with Div	div	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	578	impl i32 with Div	div	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	584	impl u32 with Add	add	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	584	impl u32 with Add	add	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	590	impl u32 with Sub	sub	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	590	impl u32 with Sub	sub	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	596	impl u32 with Mul	mul	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	596	impl u32 with Mul	mul	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	602	impl u32 with Div	div	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	602	impl u32 with Div	div	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	660	impl i32 with Shl	shl	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	660	impl i32 with Shl	shl	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	666	impl i32 with Shr	shr	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	666	impl i32 with Shr	shr	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	672	impl i32 with BitAnd	bit_and	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	672	impl i32 with BitAnd	bit_and	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	678	impl i32 with BitOr	bit_or	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	678	impl i32 with BitOr	bit_or	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	684	impl i32 with BitXor	bit_xor	b	i32	the numeric type's own algebra
NOT	SIG	number.vl	684	impl i32 with BitXor	bit_xor	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	690	impl u32 with Shl	shl	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	690	impl u32 with Shl	shl	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	696	impl u32 with Shr	shr	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	696	impl u32 with Shr	shr	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	702	impl u32 with BitAnd	bit_and	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	702	impl u32 with BitAnd	bit_and	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	708	impl u32 with BitOr	bit_or	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	708	impl u32 with BitOr	bit_or	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	714	impl u32 with BitXor	bit_xor	b	u32	the numeric type's own algebra
NOT	SIG	number.vl	714	impl u32 with BitXor	bit_xor	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	793		label_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	796		label_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	799		label_i64	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	802		label_u64	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	905	impl i8	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	910	impl i8	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	915	impl i8	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	920	impl i8	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	979	impl u8	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	984	impl u8	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	989	impl u8	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	994	impl u8	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1056	impl i16	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1061	impl i16	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1066	impl i16	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1071	impl i16	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1130	impl u16	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1135	impl u16	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1140	impl u16	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1145	impl u16	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1159	impl i32	max_value	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1165	impl i32	min_value	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1192	impl i32	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1196	impl i32	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1201	impl i32	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1206	impl i32	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1220	impl u32	max_value	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1226	impl u32	min_value	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1253	impl u32	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1258	impl u32	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1262	impl u32	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1267	impl u32	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1282	impl i53	max_value	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1290	impl i53	min_value	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1295	impl i53	abs	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1298	impl i53	pow	exponent	i53	the numeric type's own algebra
NOT	SIG	number.vl	1298	impl i53	pow	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1301	impl i53	min	other	i53	the numeric type's own algebra
NOT	SIG	number.vl	1301	impl i53	min	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1304	impl i53	max	other	i53	the numeric type's own algebra
NOT	SIG	number.vl	1304	impl i53	max	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1306	impl i53	rem	m	i53	the numeric type's own algebra
NOT	SIG	number.vl	1306	impl i53	rem	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1333	impl i53	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1338	impl i53	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1343	impl i53	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1347	impl i53	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1362	impl u53	max_value	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1368	impl u53	min_value	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1373	impl u53	pow	exponent	u53	the numeric type's own algebra
NOT	SIG	number.vl	1373	impl u53	pow	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1376	impl u53	min	other	u53	the numeric type's own algebra
NOT	SIG	number.vl	1376	impl u53	min	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1379	impl u53	max	other	u53	the numeric type's own algebra
NOT	SIG	number.vl	1379	impl u53	max	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1381	impl u53	rem	m	u53	the numeric type's own algebra
NOT	SIG	number.vl	1381	impl u53	rem	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1408	impl u53	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1413	impl u53	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1418	impl u53	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1423	impl u53	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1495	impl f32	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1500	impl f32	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1505	impl f32	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1510	impl f32	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1541	impl f64	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1546	impl f64	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1551	impl f64	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1556	impl f64	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1595	impl BigInt	as_i32	<ret>	i32	the numeric type's own algebra
NOT	SIG	number.vl	1600	impl BigInt	as_u32	<ret>	u32	the numeric type's own algebra
NOT	SIG	number.vl	1605	impl BigInt	as_i53	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1610	impl BigInt	as_u53	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1766	impl i53 with Default	default	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1772	impl i53 with PartialEq	eq	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	1778	impl i53 with Add	add	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	1778	impl i53 with Add	add	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1784	impl i53 with Sub	sub	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	1784	impl i53 with Sub	sub	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1790	impl i53 with Mul	mul	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	1790	impl i53 with Mul	mul	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1796	impl i53 with Div	div	b	i53	the numeric type's own algebra
NOT	SIG	number.vl	1796	impl i53 with Div	div	<ret>	i53	the numeric type's own algebra
NOT	SIG	number.vl	1802	impl u53 with Default	default	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1808	impl u53 with PartialEq	eq	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	1814	impl u53 with Add	add	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	1814	impl u53 with Add	add	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1820	impl u53 with Sub	sub	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	1820	impl u53 with Sub	sub	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1826	impl u53 with Mul	mul	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	1826	impl u53 with Mul	mul	<ret>	u53	the numeric type's own algebra
NOT	SIG	number.vl	1832	impl u53 with Div	div	b	u53	the numeric type's own algebra
NOT	SIG	number.vl	1832	impl u53 with Div	div	<ret>	u53	the numeric type's own algebra
NOT	SIG	option.vl	316	impl str	parse_i32	<ret>	Option<i32>	a parsed VALUE [override]
INDEX	SIG	option.vl	383	impl str	raw_index_of	<ret>	i32	`raw_index_of` answers a position or a count
INDEX	SIG	option.vl	386	impl str	raw_last_index_of	<ret>	i32	`raw_last_index_of` answers a position or a count
INDEX	SIG	option.vl	401	impl str	index_of	<ret>	Option<i32>	`index_of` answers a position or a count
INDEX	SIG	option.vl	414	impl str	last_index_of	<ret>	Option<i32>	`last_index_of` answers a position or a count
INDEX	SIG	option.vl	428	impl List<type T>	get	index	i32	`index` is a position or a length
NOT	SIG	db.vl	65		statement_run	<ret>	i32	rows affected [override]
NOT	SIG	db.vl	77		column_integer	<ret>	i32	a column VALUE [override]
NOT	SIG	db.vl	80		column_big_integer	<ret>	i53	a column VALUE [override]
